productName,Stars,Ratings,Reviews,CurrentPrice,MRP,Processor,RAM,Storage,ImageURL 
ASUS Chromebook Celeron Dual Core N4020,3.6,530,57,13990,24990,Intel Celeron Dual Core Processor,LPDDR4 RAM,4 GB,https://rukminim2.flixcart.com/image/312/312/kwnv6a80/computer/9/c/i/-original-imag9aajekwegabt.jpeg?q=70 
 Acer Aspire 3 Core i3 12th Gen,4.2,341,32,36990,48999,Intel Core i3 Processor (12th Gen),DDR4 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/g/v/h/-original-imagqbudxbf9djaz.jpeg?q=70 
 HP Laptop Core i3 11th Gen 1115G4,4.2,440,36,38990,49025,Intel Core i3 Processor (11th Gen),DDR4 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/l/u/-original-imagp7pgcy8e6eta.jpeg?q=70 
 HP 2023 Athlon Dual Core 3050U,4,1998,173,30990,35147,AMD Athlon Dual Core Processor,DDR4 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/5/6/i/-original-imaggshd5zgfe8ev.jpeg?q=70 
 ASUS Vivobook 15 Core i5 11th Gen 1135G7,4.3,3257,253,42990,69990,Intel Core i5 Processor (11th Gen),DDR4 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/h/v/-original-imagq9hcmgg3etg8.jpeg?q=70 
 DELL Inspiron Core i3 11th Gen 1115G4,4.1,1106,162,35990,59119,Intel Core i3 Processor (11th Gen),DDR4 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/m/k/-original-imagzyfzhzcw8wvp.jpeg?q=70 
 Lenovo V15 Ryzen 5 Hexa Core 5500U,4.2,657,79,34604,69525,AMD Ryzen 5 Hexa Core Processor,DDR4 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/d/i/-original-imagzhefhc84rmbf.jpeg?q=70 
 Primebook 4G Android Based MediaTek MT8788,4.1,1741,533,13990,24990,MediaTek MediaTek MT8788 Processor,LPDDR4 RAM,4 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/r/2/x/-original-imagsuvk8hxnzvgt.jpeg?q=70 
 Infinix INBook Y1 Plus Intel Core i3 10th Gen 1005G1,4.2,1965,258,26990,49990,Intel Core i3 Processor (10th Gen),LPDDR4X RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/u/k/-original-imagmxuravjcmdwu.jpeg?q=70 
 ASUS Vivobook 15 Core i3 11th Gen 1115G4,4.3,6768,654,35990,49990,Intel Core i3 Processor (11th Gen),DDR4 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/q/e/z/-original-imagpxgqesgrthks.jpeg?q=70 
